"TableInfos"
"ID";"Title";"ShortTitle";"Identifier";"Summary";"Modified";"ReasonDelivery";"ExplanatoryText";"Language";"Catalog";"Frequency";"Period";"ShortDescription";"Description";"DefaultPresentation";"DefaultSelection";"GraphTypes";"OutputStatus";"Source";"MetaDataModified";"SearchPriority"
"0";"Consumption expenditure of households; National accounts, 2015=100";"Consumption expenditure of households";"82608ENG";"Changes and indices of consumption of households 
by type of goods and services.";"2020-12-21T06:30:00";"Update";"";"en";"CBS";"Monthly";"2000 January - 2020 October";"
This table provides figures on the expenditures of households in values and volume. The figures are divided in domestic consumption and final consumption by households. Detailed data concern domestic consumption expenditure (incl. VAT). This includes final consumption in the Netherlands by residents and non-residents. Final consumption by households can be calculated by deducting from domestic consumption expenditure the final consumption by non-residents in the Netherlands and adding final consumption expenditure by households in the rest of the world.

Data available from:2000

Status of the figures:
The figures for 2016, 2017, 2018 and 2019 are provisional. The other figures are definite.

Changes as of 21 December 2020:
The figures of October 2020 have been added.

When will new figures be published?
New figures will be published six to seven weeks after the end of the month under review.
";"CONTENTS

1. General information
2. Definitions and explanation of symbols
3. Links to relevant tables and articles
4. Sources and methods
5. Further information

1. GENERAL INFORMATION

This table provides figures on the expenditures of households in values and volume. The figures are divided in domestic consumption and final consumption by households. Detailed data concern domestic consumption expenditure (incl. VAT). This includes final consumption in the Netherlands by residents and non-residents. Final consumption by households can be calculated by deducting from domestic consumption expenditure the final consumption by non-residents in the Netherlands and adding final consumption expenditure by households in the rest of the world.

Data available from:2000

Status of the figures:
The figures for 2016, 2017, 2018 and 2019 are provisional. The other figures are definite.

Changes as of 21 December 2020:
The figures of October 2020 have been added.

When will new figures be published?
New figures will be published six to seven weeks after the end of the month under review.

2. DEFINITIONS AND EXPLANATION OF SYMBOLS

Definitions:
Domestic consumption by households.
This consists of the following items:
Purchases of consumers from retail trade or directly from the producer.
Consumptive expenditures for non-profit institutions serving households (NPI’s). NPI’s are for example sports clubs, trade unions and religious organisations whose resources are principally derived from voluntary contributions from households or from property income.
Only voluntary expenditures on goods and services by households belong to consumption; Obligatory expenditures like for example tax payments are not included.

Explanation of symbols:
Empty cell	: figure not applicable
. 		: figure is unknown, insufficiently reliable or confidential
*		: provisional figure 
**		: revised provisional figure

3. LINKS TO RELEVANT TABLES AND ARTICLES

Relevant tables: 
This table is a follow-up of the discontinued table: 
<a href='https://opendata.cbs.nl/statline/#/CBS/en/dataset/70076eng'>Spending; consumption household</a>
The figures in this table have been adjusted to the national accounts:
<a href='https://opendata.cbs.nl/statline/#/CBS/en/dataset/84106ENG/table?dl=1B383'>GDP, production and expenditures;changes, Quarterly National Accounts</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/en/dataset/84105ENG/table?dl=1B384'>GDP, production and expenditures;value, Quarterly National Accounts</a>

4. SOURCES AND METHODS

The survey method for this table can be found in the survey description:
<a href='https://www.cbs.nl/en-gb/our-services/methods/surveys/korte-onderzoeksbeschrijvingen/final-consumption-of-households-monthly-figures'>Consumptive spending of households</a>

5. FURTHER INFORMATION

<a href='https://www.cbs.nl/en-gb/about-us/contact/infoservice'>Infoservice</a>

Copyright (c) Statistics Netherlands, The Hague/Heerlen
Reproduction is permitted, provided Statistics Netherlands is quoted as the source. 


";"ts=1608215087471&graphtype=Table&r=Periods&k=Topics,ConsumptionByHouseholds";"$filter=((ConsumptionByHouseholds eq 'A047812') or (ConsumptionByHouseholds eq 'A047813') or (ConsumptionByHouseholds eq 'A047875') or (ConsumptionByHouseholds eq 'A047825') or (ConsumptionByHouseholds eq 'A048214') or (ConsumptionByHouseholds eq 'A047837')) and ((Periods eq '2018JJ00') or (Periods eq '2019JJ00') or (Periods eq '2019KW03') or (Periods eq '2019MM10') or (Periods eq '2019MM11') or (Periods eq '2019MM12') or (Periods eq '2019KW04') or (Periods eq '2020MM01') or (Periods eq '2020MM02') or (Periods eq '2020MM03') or (Periods eq '2020KW01') or (Periods eq '2020MM04') or (Periods eq '2020MM05') or (Periods eq '2020MM06') or (Periods eq '2020KW02') or (Periods eq '2020MM07') or (Periods eq '2020MM08') or (Periods eq '2020MM09') or (Periods eq '2020KW03') or (Periods eq '2020MM10'))&$select=ConsumptionByHouseholds, Periods, VolumeChanges_2, VolumeChangesShoppingdayAdjusted_3, ValueChanges_5";"Table,Bar,Line";"Regular";"CBS.";"2020-12-21T06:30:00";"2"
"DataProperties"
ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
"0";"0";;"Dimension";"ConsumptionByHouseholds";"Consumption by households";"";;;;;
"1";"1";;"TimeDimension";"Periods";"Periods";"";"true";;;;
"2";;;"TopicGroup";"";"Volume";;;;;;
"3";"2";"2";"Topic";"Indices_1";"Indices";"An index represents the ratio between the value of a certain variable in a certain period and the value of that same variable in the base period.";;"Float";"2015=100";"1";"Missing"
"4";"3";"2";"Topic";"VolumeChanges_2";"Volume changes";"The change of volume compared to the same period a year earlier.
";;"Float";"%";"1";"Missing"
"5";"4";"2";"Topic";"VolumeChangesShoppingdayAdjusted_3";"Volume changes shoppingday adjusted";"For shoppingday adjusted change of volume compared to the same period a year earlier.
";;"Float";"%";"1";"Missing"
"6";;;"TopicGroup";"";"Value";;;;;;
"7";"5";"6";"Topic";"Indices_4";"Indices";"An index represents the ratio between the value of a certain variable in a certain period and the value of that same variable in the base period.";;"Float";"2015=100";"1";"Missing"
"8";"6";"6";"Topic";"ValueChanges_5";"Value changes";"The change of value compared to the same period a year earlier.";;"Float";"%";"1";"Missing"
"9";"7";;"Topic";"PriceChanges_6";"Price changes";"The change of price compared to the same period a year earlier.";;"Float";"%";"1";"Missing"
"ConsumptionByHouseholds"
Key;Title;Description
"A047812";"Domestic consumption by households";"All consumption which takes place in the Netherlands including consumption of foreign residents in the Netherlands. Consumption by Dutch residents abroad is therefore not included."
"A047813";"Consumption of goods by households";"Consumption of goods by households and NPI households."
"A047875";"Foodproducts, beverages and tabacco";""
"A047825";"Durable consumer goods";""
"A047826";"Textiles and clothing";""
"A047827";"Leather goods and footwear";""
"A047828";"Home furnishing and home decoration";""
"A047829";"Electrical equipment";""
"A047830";"Vehicles";""
"A047831";"Other durable consumer goods n.e.c.";""
"A048214";"Other goods";""
"A047832";"Electricity, gas, water and motor fuels";""
"A048213";"Personal care and other goods";""
"A047837";"Consumption of services by households";"Consumption of services by households and NPI households."
"Periods"
Key;Title;Description;Status
"2000JJ00";"2000";"";"Definitief"
"2001JJ00";"2001";"";"Definitief"
"2002JJ00";"2002";"";"Definitief"
"2003JJ00";"2003";"";"Definitief"
"2004JJ00";"2004";"";"Definitief"
"2005JJ00";"2005";"";"Definitief"
"2006JJ00";"2006";"";"Definitief"
"2007JJ00";"2007";"";"Definitief"
"2008JJ00";"2008";"";"Definitief"
"2009JJ00";"2009";"";"Definitief"
"2010JJ00";"2010";"";"Definitief"
"2011JJ00";"2011";"";"Definitief"
"2012JJ00";"2012";"";"Definitief"
"2013JJ00";"2013";"";"Definitief"
"2014JJ00";"2014";"";"Definitief"
"2015JJ00";"2015";"";"Definitief"
"2016JJ00";"2016";"Provisional figures";"Voorlopig"
